work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,mi,FT,data scientist,70000,EUR,79833,de,0,de,L
2020,se,FT,machine learning scientist,260000,USD,260000,jp,0,jp,S
2020,se,FT,big data engineer,85000,GBP,109024,gb,50,gb,M
2020,mi,FT,product data analyst,20000,USD,20000,hn,0,hn,S
2020,se,FT,machine learning engineer,150000,USD,150000,us,50,us,L
2020,en,FT,data analyst,72000,USD,72000,us,100,us,L
2020,se,FT,lead data scientist,190000,USD,190000,us,100,us,S
2020,mi,FT,data scientist,11000000,HUF,35735,hu,50,hu,L
2020,mi,FT,business data analyst,135000,USD,135000,us,100,us,L
2020,se,FT,lead data engineer,125000,USD,125000,nz,50,nz,S
2020,en,FT,data scientist,45000,EUR,51321,fr,0,fr,S
2020,mi,FT,data scientist,3000000,INR,40481,in,0,in,L
2020,en,FT,data scientist,35000,EUR,39916,fr,0,fr,M
2020,mi,FT,lead data analyst,87000,USD,87000,us,100,us,L
2020,mi,FT,data analyst,85000,USD,85000,us,100,us,L
2020,mi,FT,data analyst,8000,USD,8000,pk,50,pk,L
2020,en,FT,data engineer,4450000,JPY,41689,jp,100,jp,S
2020,se,FT,big data engineer,100000,EUR,114047,pl,100,gb,S
2020,en,FT,data science consultant,423000,INR,5707,in,50,in,M
2020,mi,FT,lead data engineer,56000,USD,56000,pt,100,us,M
2020,mi,FT,machine learning engineer,299000,CNY,43331,cn,0,cn,M
2020,mi,FT,product data analyst,450000,INR,6072,in,100,in,L
2020,se,FT,data engineer,42000,EUR,47899,gr,50,gr,L
2020,mi,FT,bi data analyst,98000,USD,98000,us,0,us,M
2020,mi,FT,lead data scientist,115000,USD,115000,ae,0,ae,L
2020,ex,FT,director of data science,325000,USD,325000,us,100,us,L
2020,en,FT,research scientist,42000,USD,42000,nl,50,nl,L
2020,se,FT,data engineer,720000,MXN,33511,mx,0,mx,S
2020,en,CT,business data analyst,100000,USD,100000,us,100,us,L
2020,se,FT,machine learning manager,157000,CAD,117104,ca,50,ca,L
2020,mi,FT,data engineering manager,51999,EUR,59303,de,100,de,S
2020,en,FT,big data engineer,70000,USD,70000,us,100,us,L
2020,se,FT,data scientist,60000,EUR,68428,gr,100,us,L
2020,mi,FT,research scientist,450000,USD,450000,us,0,us,M
2020,mi,FT,data analyst,41000,EUR,46759,fr,50,fr,L
2020,mi,FT,data engineer,65000,EUR,74130,at,50,at,L
2020,mi,FT,data science consultant,103000,USD,103000,us,100,us,L
2020,en,FT,machine learning engineer,250000,USD,250000,us,50,us,L
2020,en,FT,data analyst,10000,USD,10000,ng,100,ng,S
2020,en,FT,machine learning engineer,138000,USD,138000,us,100,us,S
2020,mi,FT,data scientist,45760,USD,45760,ph,100,us,S
2020,ex,FT,data engineering manager,70000,EUR,79833,es,50,es,L
2020,mi,FT,machine learning infrastructure engineer,44000,EUR,50180,pt,0,pt,M
2020,mi,FT,data engineer,106000,USD,106000,us,100,us,L
2020,mi,FT,data engineer,88000,GBP,112872,gb,50,gb,L
2020,en,PT,ml engineer,14000,EUR,15966,de,100,de,S
2020,mi,FT,data scientist,60000,GBP,76958,gb,100,gb,S
2020,se,FT,data engineer,188000,USD,188000,us,100,us,L
2020,mi,FT,data scientist,105000,USD,105000,us,100,us,L
2020,mi,FT,data engineer,61500,EUR,70139,fr,50,fr,L
2020,en,FT,data analyst,450000,INR,6072,in,0,in,S
2020,en,FT,data analyst,91000,USD,91000,us,100,us,L
2020,en,FT,ai scientist,300000,DKK,45896,dk,50,dk,S
2020,en,FT,data engineer,48000,EUR,54742,pk,100,de,L
2020,se,FL,computer vision engineer,60000,USD,60000,ru,100,us,S
2020,se,FT,principal data scientist,130000,EUR,148261,de,100,de,M
2020,mi,FT,data scientist,34000,EUR,38776,es,100,es,M
2020,mi,FT,data scientist,118000,USD,118000,us,100,us,M
2020,se,FT,data scientist,120000,USD,120000,us,50,us,L
2020,mi,FT,data scientist,138350,USD,138350,us,100,us,M
2020,mi,FT,data engineer,110000,USD,110000,us,100,us,L
2020,mi,FT,data engineer,130800,USD,130800,es,100,us,M
2020,en,PT,data scientist,19000,EUR,21669,it,50,it,S
2020,se,FT,data scientist,412000,USD,412000,us,100,us,L
2020,se,FT,machine learning engineer,40000,EUR,45618,hr,100,hr,S
2020,en,FT,data scientist,55000,EUR,62726,de,50,de,S
2020,en,FT,data scientist,43200,EUR,49268,de,0,de,S
2020,se,FT,data science manager,190200,USD,190200,us,100,us,M
2020,en,FT,data scientist,105000,USD,105000,us,100,us,S
2020,se,FT,data scientist,80000,EUR,91237,at,0,at,S
2020,mi,FT,data scientist,55000,EUR,62726,fr,50,lu,S
2020,mi,FT,data scientist,37000,EUR,42197,fr,50,fr,S
2021,en,FT,research scientist,60000,GBP,82528,gb,50,gb,L
2021,ex,FT,bi data analyst,150000,USD,150000,in,100,us,L
2021,ex,FT,head of data,235000,USD,235000,us,100,us,L
2021,se,FT,data scientist,45000,EUR,53192,fr,50,fr,L
2021,mi,FT,bi data analyst,100000,USD,100000,us,100,us,M
2021,mi,PT,3d computer vision researcher,400000,INR,5409,in,50,in,M
2021,mi,CT,ml engineer,270000,USD,270000,us,100,us,L
2021,en,FT,data analyst,80000,USD,80000,us,100,us,M
2021,se,FT,data analytics engineer,67000,EUR,79197,de,100,de,L
2021,mi,FT,data engineer,140000,USD,140000,us,100,us,L
2021,mi,FT,applied data scientist,68000,CAD,54238,gb,50,ca,L
2021,mi,FT,machine learning engineer,40000,EUR,47282,es,100,es,S
2021,ex,FT,director of data science,130000,EUR,153667,it,100,pl,L
2021,mi,FT,data engineer,110000,PLN,28476,pl,100,pl,L
2021,en,FT,data analyst,50000,EUR,59102,fr,50,fr,M
2021,mi,FT,data analytics engineer,110000,USD,110000,us,100,us,L
2021,se,FT,lead data analyst,170000,USD,170000,us,100,us,L
2021,se,FT,data analyst,80000,USD,80000,bg,100,us,S
2021,se,FT,marketing data analyst,75000,EUR,88654,gr,100,dk,L
2021,en,FT,data science consultant,65000,EUR,76833,de,100,de,S
2021,mi,FT,lead data analyst,1450000,INR,19609,in,100,in,L
2021,se,FT,lead data engineer,276000,USD,276000,us,0,us,L
2021,en,FT,data scientist,2200000,INR,29751,in,50,in,L
2021,mi,FT,cloud data engineer,120000,SGD,89294,sg,50,sg,L
2021,en,PT,ai scientist,12000,USD,12000,br,100,us,S
2021,mi,FT,financial data analyst,450000,USD,450000,us,100,us,L
2021,en,FT,computer vision software engineer,70000,USD,70000,us,100,us,M
2021,mi,FT,computer vision software engineer,81000,EUR,95746,de,100,us,S
2021,mi,FT,data analyst,75000,USD,75000,us,0,us,L
2021,se,FT,data engineer,150000,USD,150000,us,100,us,L
2021,mi,FT,bi data analyst,11000000,HUF,36259,hu,50,us,L
2021,mi,FT,data analyst,62000,USD,62000,us,0,us,L
2021,mi,FT,data scientist,73000,USD,73000,us,0,us,L
2021,mi,FT,data analyst,37456,GBP,51519,gb,50,gb,L
2021,mi,FT,research scientist,235000,CAD,187442,ca,100,ca,L
2021,se,FT,data engineer,115000,USD,115000,us,100,us,S
2021,se,FT,data engineer,150000,USD,150000,us,100,us,M
2021,en,FT,data engineer,2250000,INR,30428,in,100,in,L
2021,se,FT,machine learning engineer,80000,EUR,94564,de,50,de,L
2021,se,FT,director of data engineering,82500,GBP,113476,gb,100,gb,M
2021,se,FT,lead data engineer,75000,GBP,103160,gb,100,gb,S
2021,en,PT,ai scientist,12000,USD,12000,pk,100,us,M
2021,mi,FT,data engineer,38400,EUR,45391,nl,100,nl,L
2021,en,FT,machine learning scientist,225000,USD,225000,us,100,us,L
2021,mi,FT,data scientist,50000,USD,50000,ng,100,ng,L
2021,mi,FT,data science engineer,34000,EUR,40189,gr,100,gr,M
2021,en,FT,data analyst,90000,USD,90000,us,100,us,S
2021,mi,FT,data engineer,200000,USD,200000,us,100,us,L
2021,mi,FT,big data engineer,60000,USD,60000,es,50,ro,M
2021,se,FT,principal data engineer,200000,USD,200000,us,100,us,M
2021,en,FT,data analyst,50000,USD,50000,us,100,us,M
2021,en,FT,applied data scientist,80000,GBP,110037,gb,0,gb,L
2021,en,PT,data analyst,8760,EUR,10354,es,50,es,M
2021,mi,FT,principal data scientist,151000,USD,151000,us,100,us,L
2021,se,FT,machine learning scientist,120000,USD,120000,us,50,us,S
2021,mi,FT,data scientist,700000,INR,9466,in,0,in,S
2021,en,FT,machine learning engineer,20000,USD,20000,in,100,in,S
2021,se,FT,lead data scientist,3000000,INR,40570,in,50,in,L
2021,en,FT,machine learning developer,100000,USD,100000,iq,50,iq,S
2021,en,FT,data scientist,42000,EUR,49646,fr,50,fr,M
2021,mi,FT,applied machine learning scientist,38400,USD,38400,vn,100,us,M
2021,se,FT,computer vision engineer,24000,USD,24000,br,100,br,M
2021,en,FT,data scientist,100000,USD,100000,us,0,us,S
2021,mi,FT,data analyst,90000,USD,90000,us,100,us,M
2021,mi,FT,ml engineer,7000000,JPY,63711,jp,50,jp,S
2021,mi,FT,ml engineer,8500000,JPY,77364,jp,50,jp,S
2021,se,FT,principal data scientist,220000,USD,220000,us,0,us,L
2021,en,FT,data scientist,80000,USD,80000,us,100,us,M
2021,mi,FT,data analyst,135000,USD,135000,us,100,us,L
2021,se,FT,data science manager,240000,USD,240000,us,0,us,L
2021,se,FT,data engineering manager,150000,USD,150000,us,0,us,L
2021,mi,FT,data scientist,82500,USD,82500,us,100,us,S
2021,mi,FT,data engineer,100000,USD,100000,us,100,us,L
2021,se,FT,machine learning engineer,70000,EUR,82744,be,50,be,M
2021,mi,FT,research scientist,53000,EUR,62649,fr,50,fr,M
2021,mi,FT,data engineer,90000,USD,90000,us,100,us,L
